Name	Type	Description
ligand_asym_id	str	 Ligand chain asymmetric id
ligand_auth_id	str	 Ligand chain author id
ligand_ccd_code	str	 Ligand Chemical Component Dictionary (CCD) code
ligand_centroid	str	 Ligand center of geometry
ligand_covalent_linkages	str	 Ligand covalent linkages as described in https://mmcif.wwpdb.org/dictionaries/mmcif_pdbx_v50.dic/Categories/struct_conn.html with _struct_conn.conn_type_id == 'covale'
ligand_crippen_clogp	float	   Ligand Crippen MlogP. See https://www.rdkit.org/docs/source/rdkit.Chem.Crippen.html
ligand_id	str	 The "__"-separated string of pdb_id, biounit_id, instance_chain
ligand_in_artifact_list	bool	    Boolean indicating whether ligand CCD code is in a pre-defined list of artifact.
ligand_instance	int	 Ligand instance number after constituting the bio-assembly
ligand_interacting_ligand_chains	list[str]	   RSCB chain asymmetric ids of ligand residues interacting with a given ligand
ligand_interacting_ligand_chains_BIRD	list[list[str]]	 BORD ids of ligand residues interacting with a given ligand.
ligand_interacting_ligand_chains_ECOD	list[list[str]]	 ECOD tnames of ligand residues interacting with a given ligand.
ligand_interacting_ligand_chains_PANTHER	list[list[str]]	 PANTHER ids of ligand residues interacting with a given ligand.
ligand_interacting_ligand_chains_Pfam	list[list[str]]	 Pfam ids of ligand residues interacting with a given ligand.
ligand_interacting_ligand_chains_UniProt	list[list[str]]	 UniProt ids of ligand residues interacting with a given ligand.
ligand_interacting_ligand_chains_auth_id	list[str]	   RSCB chain author chain ids of ligand residues interacting with a given ligand.
ligand_interacting_ligand_chains_entity_id	list[int]	   RSCB entity ids of ligands interacting with a given ligand
ligand_interacting_ligand_chains_length	list[int]	   Whole-ligand residues count (not just pocket) of each of the ligands interacting with a given ligand.
ligand_interacting_ligand_chains_num_residues	list[int]	   Number of residues of each of the ligands interacting with a given ligand.
ligand_is_artifact	bool	    Indicator of whether a ligand is an artifact
ligand_is_cofactor	bool	    Indicator of whether a ligand  is a cofactor
ligand_is_covalent	bool	    Indicator of whether a ligand  is a covalent ligand
ligand_is_fragment	bool	    Indicator of whether a ligand  is a fragment
ligand_is_invalid	bool	    Indicator of whether a ligand  is an invalid ligand
ligand_is_ion	bool	    Indicator of whether a ligand  is an ion
ligand_is_kinase_inhibitor	bool	    Indicator of whether a ligand  is a kinase inhibitor
ligand_is_lipinski	bool	    Indicator of whether a ligand  passes lipinski criteria
ligand_is_oligo	bool	    Indicator of whether a ligand  is an oligopeptide, oligosaccharide or oligopeptide.
ligand_is_other	bool	    Indicator of whether a ligand type is not any of small molecule, ion, cofactor, oligopeptide, oligosaccharide or oligopeptide.
ligand_num_hba	int	 Number of hydrogen bond acceptor of a ligand of interest
ligand_num_hbd	int	 Number of hydrogen bond donor of a ligand of interest
ligand_num_heavy_atoms	int	 Heavy atom count of a ligand of interest
ligand_num_interacting_residues	int	 Number of interacting residues with ligand of interest
ligand_num_interactions	int	 Interaction count with ligand of interest
ligand_num_missing_neighboring_ppi_residues	int	 Number of missing neighboring protein-protein interface residues within 8 Å of ligand of interest
ligand_num_missing_pli_interface_residues	int	 Number of missing neighboring protein-ligand interface residues within 8 Å of ligand of interest
ligand_num_neighboring_ppi_atoms_within_4A_of_gap	int	  Number of missing neighboring protein-protein interface atoms within 4 Å of ligand of interest
ligand_num_neighboring_ppi_atoms_within_8A_of_gap	int	  Number of missing neighboring protein-protein interface atoms within 8 Å of ligand of interest
ligand_num_neighboring_residues	int	 Number of neighboring residues within 6 Å of ligand of interest.
ligand_num_pli_atoms_within_4A_of_gap	int	 Number of missing neighboring protein-ligand interface atoms within 4 Å of ligand of interest
ligand_num_pli_atoms_within_8A_of_gap	int	 Number of missing neighboring protein-ligand interface atoms within 4 Å of ligand of interest
ligand_num_rings	int	 Number of rings in a ligand of interest.
ligand_num_rot_bonds	int	 Number of rotatable bonds in a ligand of interest.
ligand_plip_type	str	 Ligand type assigned by PLIP
ligand_qed	float	   Ligand QED, a measure of drug-likeness see. https://www.rdkit.org/new_docs/source/rdkit.Chem.QED.html
ligand_rdkit_canonical_smiles	str	 rdkit canonical smiles
ligand_resolved_smiles	str	 Resolved smiles that captures all ligand atoms, pulled directly from https://www.wwpdb.org/data/ccd
ligand_smiles	str	 Ligand smiles, doesn't account for missing atoms
ligand_unique_ccd_code	str	 Ligand representative CCD code after de-duplicating
ligand_num_unresolved_heavy_atoms	int	Number of unresolved heavy atoms in a ligand
